生效日期,证券代码,证券名称,证券英文名称,交易所,证监会行业分类代码,证监会行业分类名称,证监会行业分类英文名称,证监会行业分类代码(全),证监会行业分类名称(全),证监会行业分类英文名称(全)
2021/2/19,002405,四维图新,NavInfo Co Ltd,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,002406,远东传动,Xuchang Yuandong Drive Shaft Co Ltd,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,002407,多氟多,Do-Fluoride Chemicals Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002408,齐翔腾达,Zibo Qixiang Tengda Chemical Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002409,雅克科技,Jiangsu Yoke Technology Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002410,广联达,Glodon Software Co Ltd,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,002411,延安必康,YanAn Bicon Pharmaceutical Listed Company,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,002412,汉森制药,Hunan Hansen Pharmaceutical Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,002413,雷科防务,"JIANGSU LEIKE DEFENSE TECHNOLOGY CO., LTD.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002414,高德红外,Wuhan Guide Infrared Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002416,爱施德,Shenzhen Aisidi Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,002417,深南股份,"SUNA Co.,Ltd",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,002418,*ST康盛,Zhe Jiang Kangsheng Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002419,天虹股份,"Rainbow Digital Commercial Co.,Ltd",Shenzhen,F,批发和零售业,Wholesale and retail,52,零售业,retail
2021/2/19,002420,ST毅昌,Guangzhou Echom Science & Technology Co Ltd,Shenzhen,C,制造业,Manufacturing,29,橡胶和塑料制品业,Rubber and Plastic manufacturing
2021/2/19,002421,达实智能,Shenzhen Das Intellitech Co Ltd,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,002422,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,002423,中粮资本,"COFCO CAPITAL HOLDINGS CO.,LTD.",Shenzhen,J,金融业,Finance,69,其他金融业,Other financial industries
2021/2/19,002424,贵州百灵,Guizhou Bailing Group Pharmaceutical Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,002425,凯撒文化,"Kaiser (China) Culture Co., LTD",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,002426,*ST胜利,Suzhou Victory Precision Manufacture Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002427,ST尤夫,Zhejiang Unifull Industrial Fiber Co Ltd,Shenzhen,C,制造业,Manufacturing,28,化学纤维制造业,Chemical fibres Manufacturing
2021/2/19,002428,云南锗业,Yunnan Lincang Xinyuan Germanium Industrial Co Ltd,Shenzhen,C,制造业,Manufacturing,32,有色金属冶炼及压延加工业,Non-ferrous metal foundries and presses
2021/2/19,002429,兆驰股份,Shenzhen MTC Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002430,杭氧股份,"HANGZHOU OXYGEN PLANT GROUP CO., LTD.",Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,002431,棕榈股份,"PALM ECO-TOWN DEVELOPMENT CO., LTD.",Shenzhen,E,建筑业,Construction,48,土木工程建筑业,Civil engineering works construction
2021/2/19,002432,九安医疗,Andon Health Co Ltd,Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,002433,太安堂,Guangdong Taiantang Pharmaceutical Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,002434,万里扬,"Zhejiang Wanliyang Co., Ltd.",Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,002435,长江健康,"ChangjiangRunfa Health Industry Co., Ltd.",Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,002436,兴森科技,Shenzhen Fastprint Circuit Tech Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002437,誉衡药业,Harbin Gloria Pharmaceuticals Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,002438,江苏神通,Jiangsu Shentong Valve Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002439,启明星辰,Beijing Venustech Inc.,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,002440,闰土股份,Zhejiang Runtu Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002441,众业达,Zhongyeda Electric Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,002442,龙星化工,"Longxing Chemical Stock Co.,Ltd",Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002443,金洲管道,Zhejiang Kingland Pipeline and Technologies Co Ltd,Shenzhen,C,制造业,Manufacturing,33,金属制品业,Metal products
2021/2/19,002444,巨星科技,Hangzhou Great Star Industrial Co Ltd,Shenzhen,C,制造业,Manufacturing,33,金属制品业,Metal products
2021/2/19,002445,*ST中南,"Zhongnan Red Culture Group Co., Ltd.",Shenzhen,R,文化、体育和娱乐业,Culture、sports and entertainment,86,广播、电视、电影和影视录音制作业,"Broadcasting, movie and television"
2021/2/19,002446,盛路通信,Guangdong Shenglu Telecommunication Tech Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002447,*ST晨鑫,"Dalian Morningstar Network Technology Co., Ltd.",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,002448,中原内配,ZYNP Corporation,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,002449,国星光电,Foshan NationStar Optoelectronics Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002450,*ST康得,"Kangde Xin Composite Material Group Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,29,橡胶和塑料制品业,Rubber and Plastic manufacturing
