生效日期,证券代码,证券名称,证券英文名称,交易所,证监会行业分类代码,证监会行业分类名称,证监会行业分类英文名称,证监会行业分类代码(全),证监会行业分类名称(全),证监会行业分类英文名称(全)
2021/2/19,000001,平安银行,"Ping An Bank Co., Ltd.",Shenzhen,J,金融业,Finance,66,货币金融服务,currency finance service
2021/2/19,000002,万科A,China Vanke Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000004,国华网安,"Shenzhen GuoHua Network Security Technology Co., Ltd.",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,000005,世纪星源,Shenzhen Fountain Corporation,Shenzhen,N,水利、环境和公共设施管理业,water conservancy、environment and Public facilities management,77,生态保护和环境治理业,Ecological protection and environmentmanagement
2021/2/19,000006,深振业A,Shenzhen Zhenye (Group) Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000007,全新好,"Shenzhen Quanxinhao Co.,Ltd",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000008,神州高铁,"China High-Speed Railway Technology Co., Ltd.",Shenzhen,C,制造业,Manufacturing,37,铁路、船舶、航空航天和其它运输设备制造业,Railway、Ship、Aircraft and spacecraft and Other traffic equipment manufacturing
2021/2/19,000009,中国宝安,"China Baoan Group Co.,Ltd.",Shenzhen,S,综合,Comprehensive,90,综合,Comprehensive
2021/2/19,000010,美丽生态,"SHENZHEN ECOBEAUTY CO., LTD.",Shenzhen,E,建筑业,Construction,48,土木工程建筑业,Civil engineering works construction
2021/2/19,000011,深物业A,Shenzhen Properties & Resources Development (Group) Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000012,南  玻A,CSG Holding Co Ltd,Shenzhen,C,制造业,Manufacturing,30,非金属矿物制品业,Non-metal mineral products
2021/2/19,000014,沙河股份,Shahe Industrial Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000016,深康佳A,Konka Group Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000017,*ST中华A,Shenzhen China Bicycles Co (Holdings) Ltd,Shenzhen,C,制造业,Manufacturing,37,铁路、船舶、航空航天和其它运输设备制造业,Railway、Ship、Aircraft and spacecraft and Other traffic equipment manufacturing
2021/2/19,000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000020,深华发A,"Shenzhen Zhongheng Huafa Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000023,深天地A,Shenzhen Universe (Group) Co Ltd,Shenzhen,C,制造业,Manufacturing,30,非金属矿物制品业,Non-metal mineral products
2021/2/19,000025,特力A,Shenzhen Tellus Holding Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000026,飞亚达,"FIYTA Precision Technology Co., Ltd.",Shenzhen,F,批发和零售业,Wholesale and retail,52,零售业,retail
2021/2/19,000027,深圳能源,Shenzhen Energy Group Co Ltd,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000028,国药一致,China National Accord Medicines Corporation Ltd.,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000029,深深房A,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co.,Ltd.",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000030,富奥股份,FAWER Automotive Parts Company,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,000031,大悦城,"Grandjoy Holdings Group Co.,Ltd.",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000032,深桑达A,Shenzhen SED Industry Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000034,神州数码,"Digital China Group Co., Ltd.",Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000035,中国天楹,China Tianying Inc.,Shenzhen,N,水利、环境和公共设施管理业,water conservancy、environment and Public facilities management,77,生态保护和环境治理业,Ecological protection and environmentmanagement
2021/2/19,000036,华联控股,China Union Holdings Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000037,深南电A,Shenzhen Nanshan Power Company Limited,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000038,深大通,Shenzhen Capstone Industrial Co Ltd,Shenzhen,L,租赁和商务服务业,Leasing and commerce service,72,商务服务业,commerce service
2021/2/19,000039,中集集团,China International Marine Containers (Group) Co Ltd,Shenzhen,C,制造业,Manufacturing,33,金属制品业,Metal products
2021/2/19,000040,东旭蓝天,"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD.",Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000042,中洲控股,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000045,深纺织A,Shenzhen Textile (Holdings) Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000046,泛海控股,"Oceanwide Hoodings Co., Ltd.",Shenzhen,J,金融业,Finance,69,其他金融业,Other financial industries
2021/2/19,000048,京基智农,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",Shenzhen,C,制造业,Manufacturing,13,农副食品加工业,Food processing
2021/2/19,000049,德赛电池,Shenzhen Desay Battery Technology Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000050,深天马A,Tianma Microelectronics Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000055,方大集团,China Fangda Group Co Ltd,Shenzhen,C,制造业,Manufacturing,33,金属制品业,Metal products
2021/2/19,000056,皇庭国际,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",Shenzhen,L,租赁和商务服务业,Leasing and commerce service,72,商务服务业,commerce service
2021/2/19,000058,深赛格,Shenzhen SEG Co Ltd,Shenzhen,L,租赁和商务服务业,Leasing and commerce service,72,商务服务业,commerce service
2021/2/19,000059,华锦股份,"North Huajin Chemical Industries Co., Ltd",Shenzhen,C,制造业,Manufacturing,25,石油加工、炼焦及核燃料加工业,Oil processing and refining
2021/2/19,000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,Shenzhen,C,制造业,Manufacturing,32,有色金属冶炼及压延加工业,Non-ferrous metal foundries and presses
2021/2/19,000061,农 产 品,Shenzhen Agricultural Products Co Ltd,Shenzhen,L,租赁和商务服务业,Leasing and commerce service,72,商务服务业,commerce service
2021/2/19,000062,深圳华强,Shenzhen Huaqiang Industry Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000063,中兴通讯,ZTE Corporation,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000065,北方国际,Norinco International Cooperation Ltd,Shenzhen,E,建筑业,Construction,48,土木工程建筑业,Civil engineering works construction
2021/2/19,000066,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000068,华控赛格,"SHENZHEN HUAKONG SEG CO., LTD.",Shenzhen,M,科学研究和技术服务业,scientific research and technology service,74,专业技术服务业,professional skill services
2021/2/19,000069,华侨城A,Shenzhen Overseas Chinese Town Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000070,特发信息,Shenzhen SDG Information Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000078,海王生物,Shenzhen Neptunus Bioengineering Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,52,零售业,retail
2021/2/19,000088,盐田港,Shenzhen Yan Tian Port Holdings Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,54,道路运输业,Highway transport
2021/2/19,000089,深圳机场,Shenzhen Airport Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,56,航空运输业,Air transport
2021/2/19,000090,天健集团,"SHENZHEN TAGEN GROUP CO., LTD.",Shenzhen,E,建筑业,Construction,48,土木工程建筑业,Civil engineering works construction
2021/2/19,000096,广聚能源,Shenzhen Guangju Energy Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000099,中信海直,Citic Offshore Helicopter Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,56,航空运输业,Air transport
2021/2/19,000100,TCL科技,TCL Technology Group Corporation,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000150,宜华健康,"YIHUA HEALTHCARE Co., Ltd.",Shenzhen,Q,卫生和社会工作业,hygienism and social work,83,卫生,hygienism
2021/2/19,000151,中成股份,China National Complete Plant Import&Export Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000153,丰原药业,Anhui Fengyuan Pharmaceutical Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000155,川能动力,SICHUAN NEW ENERGY POWER COMPANY LIMITED,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000156,华数传媒,"WASU MEDIA HOLDING CO., LTD",Shenzhen,R,文化、体育和娱乐业,Culture、sports and entertainment,86,广播、电视、电影和影视录音制作业,"Broadcasting, movie and television"
2021/2/19,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,000158,常山北明,"Shijiazhuang ChangShan BeiMing Technology Co., Ltd",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,000159,国际实业,Xinjiang International Industry Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",Shenzhen,J,金融业,Finance,67,资本市场服务,capital market service
2021/2/19,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,28,化学纤维制造业,Chemical fibres Manufacturing
2021/2/19,000333,美的集团,"Midea Group CO., LTD",Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000338,潍柴动力,Wei Chai Power Co Ltd,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,000400,许继电气,XJ Electric Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000401,冀东水泥,Tangshan Jidong Cement Co Ltd,Shenzhen,C,制造业,Manufacturing,30,非金属矿物制品业,Non-metal mineral products
2021/2/19,000402,金 融 街,Financial Street Holding Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000403,双林生物,"Southern Shuanglin Bio-pharmacy Co., LTD",Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000404,长虹华意,"CHANGHONG HUAYI COMPRESSOR CO., LTD.",Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,000407,胜利股份,Shandong Shengli Co Ltd,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,45,燃气生产和供应业,Gas production and supply
2021/2/19,000408,*ST藏格,ZANGGE HOLDING COMPANY LIMITED,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000409,ST地矿,"Shandong Geo-Mineral Co., Ltd",Shenzhen,S,综合,Comprehensive,90,综合,Comprehensive
2021/2/19,000410,*ST沈机,Shenyang Machine Tool Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,000411,英特集团,Zhejiang Int'l Group Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000413,东旭光电,"Dongxu Optoelectronic Technology Co., Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000415,渤海租赁,"Bohai Leasing Co.,Ltd.",Shenzhen,L,租赁和商务服务业,Leasing and commerce service,71,租赁业,Leasing
2021/2/19,000416,民生控股,"Minsheng Holdings Co.,Ltd",Shenzhen,J,金融业,Finance,69,其他金融业,Other financial industries
2021/2/19,000417,合肥百货,Hefei Department Store Group Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,52,零售业,retail
2021/2/19,000419,通程控股,Changsha Tongcheng Holdings Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,52,零售业,retail
2021/2/19,000420,吉林化纤,Jilin Chemical Fibre Co Ltd,Shenzhen,C,制造业,Manufacturing,28,化学纤维制造业,Chemical fibres Manufacturing
2021/2/19,000421,南京公用,"NanJing Public Utilities Development Co., Ltd.",Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,45,燃气生产和供应业,Gas production and supply
2021/2/19,000422,ST宜化,Hubei Yihua Chemical Industry Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000423,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000425,徐工机械,XCMG Construction Machinery Co Ltd,Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,000426,兴业矿业,"INNER MONGOLIA XINGYE MINING CO.,LTD",Shenzhen,B,采矿业,Mining,9,有色金属矿采选业,Non-ferrous metal ore mining
2021/2/19,000428,华天酒店,Huatian Hotel Group Co Ltd,Shenzhen,H,住宿和餐饮业,hotel and Catering industry,61,住宿业,Hotel industry
2021/2/19,000429,粤高速A,Guangdong Provincial Expressway Development Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,54,道路运输业,Highway transport
2021/2/19,000430,张家界,"Zhang Jia Jie Tourism Group Co.,Ltd.",Shenzhen,N,水利、环境和公共设施管理业,water conservancy、environment and Public facilities management,78,公共设施管理业,Public facilities management
2021/2/19,000488,晨鸣纸业,Shandong Chenming Paper Holdings Ltd,Shenzhen,C,制造业,Manufacturing,22,造纸及纸制品业,Paper making and paper products
2021/2/19,000498,山东路桥,"SHANDONG HI-SPEED ROAD&BRIDGE CO., LTD.",Shenzhen,E,建筑业,Construction,48,土木工程建筑业,Civil engineering works construction
2021/2/19,000501,鄂武商A,Wuhan Department Store Stock Co Ltd (Group),Shenzhen,F,批发和零售业,Wholesale and retail,52,零售业,retail
2021/2/19,000502,绿景控股,Lvjing Holding Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000503,国新健康,"China Reform Health Management and Services Group Co., Ltd.",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,000504,ST生物,"NanHua Bio-medicineCO., Ltd.",Shenzhen,M,科学研究和技术服务业,scientific research and technology service,75,科技推广和应用服务业,scientific technology popularize and application service
2021/2/19,000505,京粮控股,"Hainan Jingliang Holdings Co., Ltd.",Shenzhen,C,制造业,Manufacturing,13,农副食品加工业,Food processing
2021/2/19,000506,中润资源,Zhongrun Resources Investment Corporation,Shenzhen,B,采矿业,Mining,9,有色金属矿采选业,Non-ferrous metal ore mining
2021/2/19,000507,珠海港,Zhuhai Port Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,55,水上运输业,Waterway transport
2021/2/19,000509,*ST华塑,"Huasu Holdings Co.,Ltd",Shenzhen,C,制造业,Manufacturing,29,橡胶和塑料制品业,Rubber and Plastic manufacturing
2021/2/19,000510,新金路,"SICHUAN XINJINLU GROUP CO.,LTD",Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000513,丽珠集团,Livzon Pharmaceutical Group Inc,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000514,渝开发,Chongqing Yukaifa Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000516,国际医学,XI' AN INTERNATIONAL MEDICAL INVESTMENT COMPANY LIMITED,Shenzhen,Q,卫生和社会工作业,hygienism and social work,83,卫生,hygienism
2021/2/19,000517,荣安地产,"Rongan Property Co., Ltd.",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000518,四环生物,"Jiangsu Sihuan Bioengineering Co.,Ltd",Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000519,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD",Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,000520,长航凤凰,Chang Jiang Shipping Group Phoenix Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,55,水上运输业,Waterway transport
2021/2/19,000521,长虹美菱,"CHANGHONG MEILING CO.,LTD.",Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000523,广州浪奇,Lonkey Industrial Co Ltd (Guangzhou),Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000524,岭南控股,Guangzhou Lingnan Group Holdings Company Limited,Shenzhen,H,住宿和餐饮业,hotel and Catering industry,61,住宿业,Hotel industry
2021/2/19,000525,红 太 阳,Nanjing Redsun Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000526,紫光学大,"XIAMEN UNIGROUP XUE CO.,LTD.",Shenzhen,P,教育,education,82,教育,education
2021/2/19,000528,柳工,Guangxi Liugong Machinery Co Ltd,Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,000529,广弘控股,"Guangdong Guanghong Holdings Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,13,农副食品加工业,Food processing
2021/2/19,000530,冰山冷热,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,000531,穗恒运A,Guangzhou Hengyun Enterprises Holding Ltd,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000532,华金资本,"Zhuhai Huajin Capital Co., Ltd.",Shenzhen,S,综合,Comprehensive,90,综合,Comprehensive
2021/2/19,000533,顺钠股份,"Guangdong Shunna Electric Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000534,万泽股份,"Wedge Industrial Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000536,*ST华映,CPT Technology (Group) Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000537,广宇发展,Tianjin Guangyu Development Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000539,粤电力A,Guangdong Electric Power Development Co Ltd,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000540,中天金融,Zhongtian Financial Group Company Limited,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000541,佛山照明,Foshan Electrical and Lighting Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000543,皖能电力,An Hui Wenergy Co Ltd,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000544,中原环保,"Zhongyuan Environment-Protection Co.,Ltd.",Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,46,水的生产和供应业,Tap water production and supply
2021/2/19,000545,金浦钛业,"Gpro Titanium Industry Co.,Ltd",Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000546,金圆股份,"Jinyuan EP Co.,Ltd.",Shenzhen,N,水利、环境和公共设施管理业,water conservancy、environment and Public facilities management,77,生态保护和环境治理业,Ecological protection and environmentmanagement
2021/2/19,000547,航天发展,"Addsino Co., Ltd",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000548,湖南投资,Hunan Investment Group Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,54,道路运输业,Highway transport
2021/2/19,000550,江铃汽车,Jiangling Motors Corp Ltd,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,000551,创元科技,"Create Technology and Science Co.,Ltd.",Shenzhen,S,综合,Comprehensive,90,综合,Comprehensive
2021/2/19,000552,靖远煤电,Gansu Jingyuan Coal Industry & Electricity Power Co Ltd,Shenzhen,B,采矿业,Mining,6,煤炭开采和洗选业,Coal mining and dressing
2021/2/19,000553,安道麦A,ADAMA Ltd.,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000554,泰山石油,Sinopec Shandong Taishan Petroleum Co Ltd,Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000555,神州信息,Digital China Information Service Company Ltd.,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,000557,西部创业,"Ningxia Western Venture Industrial Co., Ltd.",Shenzhen,G,交通运输、仓储和邮政业,Transportation,53,铁路运输业,Railway transport
2021/2/19,000558,莱茵体育,"LANDER SPORTS DEVELOPMENT CO.,LTD.",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000559,万向钱潮,Wanxiang Qianchao Co Ltd,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,000560,我爱我家,"5I5J HOLDING GROUP CO., LTD.",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000561,烽火电子,Shaanxi Fenghuo Electronics Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000563,陕国投A,"Shaanxi International Trust Co.,Ltd",Shenzhen,J,金融业,Finance,69,其他金融业,Other financial industries
2021/2/19,000564,*ST大集,"CCOOP GROUP CO., LTD",Shenzhen,F,批发和零售业,Wholesale and retail,52,零售业,retail
2021/2/19,000565,渝三峡A,Chongqing Sanxia Paints Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,000566,海南海药,Hainan Haiyao Co Ltd,Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000567,海德股份,"HAINAN HAIDE CAPITAL MANAGEMENT CO., LTD.",Shenzhen,J,金融业,Finance,69,其他金融业,Other financial industries
2021/2/19,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,Shenzhen,C,制造业,Manufacturing,15,酒、饮料和精制茶制造业,Beverage manufacturing
2021/2/19,000570,苏常柴A,Changchai Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,000571,*ST大洲,Sundiro Holding Co Ltd,Shenzhen,S,综合,Comprehensive,90,综合,Comprehensive
2021/2/19,000572,ST海马,"Haima Automobile Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,000573,粤宏远A,Dongguan Winnerway Industrial Zone Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000576,甘化科工,"Guangdong Ganhua Science & Industry Co., Ltd.",Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,000581,威孚高科,Weifu High-Technology Group Co Ltd,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,000582,北部湾港,"Beibuwan Port Co.,Ltd.",Shenzhen,G,交通运输、仓储和邮政业,Transportation,55,水上运输业,Waterway transport
2021/2/19,000584,哈工智能,"JIANGSU HAGONG INTELLIGENT ROBOT CO.,LTD",Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,000585,*ST东电,Northeast Electric Development Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,000586,汇源通信,Sichuan Huiyuan Optical Communications Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000587,*ST金洲,"JINZHOU CIHANG GROUP CO., LTD",Shenzhen,C,制造业,Manufacturing,41,其他制造业,Other manufacturing
2021/2/19,000589,贵州轮胎,Gui Zhou Tyre Co Ltd,Shenzhen,C,制造业,Manufacturing,29,橡胶和塑料制品业,Rubber and Plastic manufacturing
2021/2/19,000590,启迪药业,"TUS-PHARMACEUTICAL GROUP CO., LTD.",Shenzhen,C,制造业,Manufacturing,27,医药制造业,Medicine manufacturing
2021/2/19,000591,太阳能,"CECEP Solar Energy Co.,Ltd.",Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,000592,平潭发展,ZHONGFU STRAITS (PINGTAN) DEVELOPMENT COMPANY LIMITED,Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",2,林业,Forestry
2021/2/19,000593,大通燃气,"Sichuan Datong Gas Development Co., Ltd.",Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,45,燃气生产和供应业,Gas production and supply
2021/2/19,000595,*ST宝实,"BAOTA INDUSTRY CO., LTD.",Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
